endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc,manifest_source
drivers,2024,9606.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9606.jsonl,20,success,,2026-05-19T17:42:09+00:00,original
drivers,2024,9616.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9616.jsonl,20,success,,2026-05-19T17:42:10+00:00,original
drivers,2024,9617.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9617.jsonl,20,success,,2026-05-19T17:42:10+00:00,original
drivers,2024,9625.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9625.jsonl,20,success,,2026-05-19T17:42:10+00:00,original
drivers,2024,9635.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9635.jsonl,20,success,,2026-05-19T17:42:11+00:00,original
drivers,2024,9636.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9636.jsonl,20,success,,2026-05-19T17:42:11+00:00,original
drivers,2024,9644.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9644.jsonl,20,success,,2026-05-19T17:42:11+00:00,original
drivers,2025,9858.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9858.jsonl,20,success,,2026-05-19T17:43:00+00:00,original
drivers,2025,9864.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9864.jsonl,20,success,,2026-05-19T17:43:00+00:00,original
drivers,2025,9869.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9869.jsonl,20,success,,2026-05-19T17:43:00+00:00,original
drivers,2025,9877.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9877.jsonl,20,success,,2026-05-19T17:43:01+00:00,original
drivers,2025,9883.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9883.jsonl,20,success,,2026-05-19T17:43:01+00:00,original
drivers,2025,9888.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9888.jsonl,20,success,,2026-05-19T17:43:02+00:00,original
drivers,2025,9896.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9896.jsonl,20,success,,2026-05-19T17:43:02+00:00,original
drivers,2025,9904.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9904.jsonl,20,success,,2026-05-19T17:43:02+00:00,original
drivers,2025,9912.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9912.jsonl,20,success,,2026-05-19T17:43:03+00:00,original
drivers,2025,9920.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9920.jsonl,20,success,,2026-05-19T17:43:03+00:00,original
drivers,2025,9928.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9928.jsonl,20,success,,2026-05-19T17:43:04+00:00,original
drivers,2025,9934.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9934.jsonl,20,success,,2026-05-19T17:43:04+00:00,original
drivers,2025,9939.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9939.jsonl,20,success,,2026-05-19T17:43:04+00:00,original
drivers,2025,9947.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9947.jsonl,20,success,,2026-05-19T17:43:05+00:00,original
drivers,2025,9955.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9955.jsonl,20,success,,2026-05-19T17:43:05+00:00,original
drivers,2025,9963.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9963.jsonl,20,success,,2026-05-19T17:43:05+00:00,original
drivers,2025,9971.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9971.jsonl,19,success,,2026-05-19T17:43:06+00:00,original
drivers,2025,9979.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9979.jsonl,20,success,,2026-05-19T17:43:06+00:00,original
drivers,2025,9987.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9987.jsonl,20,success,,2026-05-19T17:43:07+00:00,original
drivers,2025,9993.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9993.jsonl,20,success,,2026-05-19T17:43:07+00:00,original
drivers,2025,9998.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9998.jsonl,20,success,,2026-05-19T17:43:07+00:00,original
drivers,2025,10006.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10006.jsonl,20,success,,2026-05-19T17:43:08+00:00,original
drivers,2025,10014.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10014.jsonl,20,success,,2026-05-19T17:43:08+00:00,original
drivers,2025,10022.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10022.jsonl,20,success,,2026-05-19T17:43:08+00:00,original
drivers,2025,10028.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10028.jsonl,20,success,,2026-05-19T17:43:09+00:00,original
drivers,2025,10033.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10033.jsonl,20,success,,2026-05-19T17:43:09+00:00,original
laps,2023,7779.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=7779.jsonl,945,success,,2026-05-19T17:43:10+00:00,original
laps,2023,7787.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=7787.jsonl,1006,success,,2026-05-19T17:43:10+00:00,original
laps,2023,7953.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=7953.jsonl,1058,success,,2026-05-19T17:43:11+00:00,original
laps,2023,9069.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9069.jsonl,309,success,,2026-05-19T17:43:11+00:00,original
laps,2023,9133.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9133.jsonl,1255,success,,2026-05-19T17:44:00+00:00,original
laps,2023,9140.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9140.jsonl,210,success,,2026-05-19T17:44:00+00:00,original
laps,2023,9141.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9141.jsonl,817,success,,2026-05-19T17:44:01+00:00,original
laps,2023,9149.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9149.jsonl,1344,success,,2026-05-19T17:44:02+00:00,original
